task,duration,hours,confidence,interest,severity,years of experience,team size,,,,,
Recruitment Board - Job Posting Filters functionality,7680000.0,12.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Administration - Scheduled Task : Newly created scheduled task does not display upon creating it,13401354.0,8.0,8.0,8.0,1,3.3401779603011600,32,,,,,
|Platform Settings: Configuring the Mobile setting,4620000.0,6.0,9.0,9.0,1,1.864476386036960,32,,,,,
Administration - Staff: Add number of employees in the teams dropdown filter,2520000.0,3.0,100.0,100.0,1,2.2477754962354600,45,,,,,
"Reports - Task Summary: Add ""From"" and ""To"" labels to indicate the range in the export modal",2940000.0,4.0,5.0,5.0,1,2.91854893908282,45,,,,,
HQZen - Employment > Timelog > View: Payroll Information Modal Integration,17955000.0,12.0,8.0,8.0,1,2.2477754962354600,32,,,,,
Organization- HR Permissions: Implement a tooltip for the disabled select HR button,5261000.0,5.0,10.0,10.0,1,3.3401779603011600,32,,,,,
Desktop App: The current session is expired but the time continuous running,8700000.0,8.0,8.0,8.0,1,1.78507871321013,13,,,,,
Recruitment - Job Posting: Update design of the schedules details of accepted salary discussion,4520000.0,5.0,8.0,8.0,1,1.9219712525667400,45,,,,,
Jobs Board: Change the cancelled button into a label,4163156.0,2.0,9.0,9.0,1,1.9219712525667400,45,,,,,
Reports: Fix the task summary page when zoomed out,2526000.0,4.0,80.0,80.0,1,1.1827515400410700,45,,,,,
Administration - Scheduled Tasks: Remove icon in view button,2100000.0,4.0,5.0,5.0,1,1.2073921971252600,45,,,,,
HQZen Sign In: Stuck at sign in page after signing in,5760000.0,9.0,9.0,9.0,1,1.864476386036960,32,,,,,
Administration - Workforce: Move the alert for removing an executive below its label,1197264841.0,4.0,5.0,5.0,1,2.8993839835729000,45,,,,,
Boards: Remove the no cards empty state when searching a non-existent card,2133148.0,4.0,5.0,5.0,1,1.998631074606430,45,,,,,
Personal Board: The card description from the Mobile App won't be displayed on the Web.,13419684.0,12.0,10.0,10.0,1,3.780971937029430,12,,,,,
Operations - Edit Card: Reduce the space between the date and time fields,900000.0,3.0,100.0,100.0,1,2.2477754962354600,45,,,,,
Onboarding - Create Configuration: Fix the adding the name and link in cards,3530000.0,3.0,9.0,9.0,1,1.9219712525667400,45,,,,,
Timelog: The tasks are not visible after filing a timelog issue.,2888000.0,4.0,80.0,90.0,1,1.9164955509924700,45,,,,,
Boards - Card: Cannot make a card copy,8580000.0,4.0,5.0,5.0,1,4.355920602327170,55,,,,,
Automation: Fix Failing Script: test_hr_admin_overtime_requests_approve_functionality,8878000.0,4.0,100.0,100.0,1,1.1937029431896000,8,,,,,
Platform Settings: Unintentional click on other parts of the page will close the modal,5040000.0,6.0,10.0,10.0,1,2.2477754962354600,32,,,,,
Administration - Scheduled Task : Infinite skeletal loading on the last page of the scheduled task,1158000.0,6.0,7.0,7.0,1,2.2477754962354600,32,,,,,
Sign in: Error Highlight on Password Is Blue,6326914.0,4.0,5.0,5.0,1,1.730321697467490,32,,,,,
Contracts- Expiring contracts: Contracts won't load,3480000.0,10.0,10.0,10.0,1,2.2477754962354600,32,,,,,
Submitted Response Email Notification: File Check Outline Image is broken,13317000.0,12.0,10.0,10.0,1,2.2477754962354600,32,,,,,
Organization: Clicking organization on breadcrumbs results in an empty page,3692000.0,4.0,8.0,8.0,1,2.2477754962354600,32,,,,,
Organization- HR Permissions: Modify the highest point of the scrollbar for selecting an employment policy,2640000.0,8.0,10.0,10.0,1,2.2477754962354600,32,,,,,
Forms - Create Form: Add a gap between the question fields,3480000.0,2.0,100.0,100.0,1,1.9219712525667400,45,,,,,
Platform Settings-Employees: Search bar expands when selecting a long text department,2272000.0,7.0,8.0,8.0,1,2.2477754962354600,32,,,,,
Platform Settings-Templates: Cannot successfully remove a member,7459307.0,12.0,10.0,10.0,1,1.7467488021902800,35,,,,,
Milestones - Feature Milestones - Documents: Modify empty state message,2760000.0,2.0,80.0,80.0,1,1.1827515400410700,45,,,,,
HQZen - Employment > Timelog > View: Calendar View Integration,10448055.0,39.0,100.0,100.0,1,1.8590006844627000,32,,,,,
Milestones - Feature Milestone: Remove the space between the number of hours/minutes and its units,2955000.0,4.0,5.0,5.0,1,1.998631074606430,45,,,,,
Milestone - Feature Milestone: Align milestone title and closed tag,5040000.0,3.0,80.0,80.0,1,1.1827515400410700,45,,,,,
Get started - Individual: Modify alert when entering a wrong code,6365144.0,5.0,8.0,8.0,1,1.9219712525667400,45,,,,,
Workforce-Reports: Calendar is unresponsive,4818000.0,16.0,80.0,90.0,1,1.1827515400410700,45,,,,,
Boards - Card - Edit tag: Change the placement and width of tooltip,4601000.0,3.0,9.0,9.0,1,1.9219712525667400,45,,,,,
HQZen - Employment > Timelog > View > Summary: API Creation,5143000.0,16.0,9.0,9.0,1,1.864476386036960,32,,,,,
HQZen - Employment > Timelog > View > Summary: Integration,11647181.0,4.0,5.0,5.0,1,4.413415468856950,32,,,,,
HQZen - Employment > Timelog > View > Summary: Payroll Summary Information Integration,20580000.0,4.0,5.0,5.0,1,2.2477754962354600,32,,,,,
Administration: Scheduled tasks - Remove the back button,3060000.0,4.0,5.0,5.0,1,2.2806297056810400,45,,,,,
Milestones - Feature Milestone: Add an icon for the card status and make them color coordinated,3535000.0,3.0,80.0,90.0,1,1.9164955509924700,45,,,,,
Feature Milestone: The app crashes after clicking the back button.,1629401059.0,8.0,9.0,9.0,1,3.780971937029430,12,,,,,
Timelog: Duration counter doesn't automatically update,9695000.0,4.0,8.0,8.0,1,3.8193018480492800,12,,,,,
Feature Milestones: Add button disappears upon scrolling down.,66263755.00000000,5.0,9.0,9.0,1,3.780971937029430,12,,,,,
|Feature Milestone: There is no indention between the avatar,30126297.0,4.0,9.0,9.0,1,3.780971937029430,12,,,,,
Personal Board: Wrong display of the deadline label.,10316427.0,7.0,9.0,9.0,1,3.780971937029430,12,,,,,
"Boards - Card - View all members: Change the label to ""Card Members"" and separate the card author",5170619.0,6.0,80.0,80.0,1,2.2477754962354600,45,,,,,
Boards - Card - View all members: Remove excess border within the search bar,69926081.0,2.0,90.0,100.0,1,1.9164955509924700,45,,,,,
Recruitment: Including an indicator on Job Postings with responses.,2887973.0,4.0,9.0,9.0,1,1.9219712525667400,45,,,,,
Employment Information: Schedule does not update,16020000.0,10.0,10.0,10.0,1,3.780971937029430,12,,,,,
Fix Scrolling To Be Smooth On Job Portal Screen,2004384951.0,20.0,10.0,10.0,1,1.8453114305270400,12,,,,,
|Scheduled Task - Recurring scheduled task didn't reflect on the list of scheduled task on mobile |||| Backend|,12944000.0,11.0,10.0,10.0,1,3.780971937029430,17,,,,,
Desktop App - Switching to a new task brings a No Selected Task pop up.,4800000.0,8.0,8.0,8.0,1,1.78507871321013,13,,,,,
Administration - Workforce Executives: Background suddenly performs search action when revoking access,13608420.0,8.0,10.0,10.0,1,2.2477754962354600,35,,,,,
Organization - Employment Policies: Pagination is displayed on empty state,3645101.0,2.0,10.0,10.0,1,2.113620807665980,35,,,,,
Administration - Platform settings - Updating mobile/Desktop Templates: Change the confirmation message to Updating.,2460000.0,5.0,10.0,10.0,1,2.113620807665980,35,,,,,
Platform Settings: Can't totally remove the employee of the said Platform Settings,111336497.0,8.0,8.0,8.0,1,3.3401779603011600,35,,,,,
Platform Settings-Templates: Add a successful modal when creating a template,12506495.0,8.0,8.0,8.0,1,3.3401779603011600,35,,,,,
Platform Settings-Employees: Add search bar in selecting departments,85308108.0,4.0,5.0,5.0,1,3.3401779603011600,35,,,,,
Platform Settings: Counts for employees tab did not display upon redirecting to the platform settings page,8437321.0,5.0,8.0,8.0,1,2.2477754962354600,35,,,,,
Platform Settings-Employees: No filter for template status,6320283.0,8.0,10.0,10.0,1,2.113620807665980,35,,,,,
Platform Settings-Templates: Add a banner image to the header once the platform settings are locked,9480000.0,12.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Account Information: No email validator when updating the email address field,13348000.0,8.0,8.0,8.0,1,2.2477754962354600,35,,,,,
|Desktop - Offline Data Persistence: When marking task as done,8949030.0,12.0,9.0,10.0,1,0.9911019849418210,13,,,,,
Desktop App: Cannot switch to a task while time in to NO TASK,9900000.0,12.0,7.0,7.0,1,2.113620807665980,13,,,,,
Desktop App-Scheduled Task: Cannot scroll down when there's multiple scheduled task,2700000.0,8.0,8.0,8.0,1,1.78507871321013,13,,,,,
Forms - Authored: Modify the shape and icon of the add recipient button,1699000.0,1.0,100.0,100.0,1,1.9219712525667400,49,,,,,
Forms - Authored: Update the success modal when archiving a form,3600000.0,2.0,80.0,80.0,1,1.1827515400410700,49,,,,,
Administration - Requests: Modify the placeholder of the search bar,2880000.0,4.0,5.0,5.0,1,1.1143052703627700,49,,,,,
Milestones - Feature Milestones: Adding input field box for naming a url or document,8220000.0,8.0,100.0,100.0,1,2.108145106091720,45,,,,,
Boards - BPOSeats Issues Board: Additional Information is not retained upon creating card,3240000.0,6.0,9.0,9.0,1,2.2642026009582500,45,,,,,
Milestones: Pagination still shows up after search yields less than 10 results,3783483.408,4.0,5.0,5.0,1,1.5003422313483900,45,,,,,
BPOSeats - Cards: Add delete/remove icon in Linked cards,15937000.0,6.0,9.0,9.0,1,2.2642026009582500,29,,,,,
Create New Script: Success DAF-Employee refuse to sign is working,7500000.0,14.0,10.0,10.0,1,1.1937029431896000,8,,,,,
Create New Script: Success DAF-Pending Employee working,5870538.0,8.0,90.0,50.0,1,2.631074606433950,8,,,,,
Create New Script: HR Portal - Verify that the HR can view the Incident Report,17278446.0,14.0,10.0,9.0,1,1.1937029431896000,8,,,,,
Create New Script: Verify if HR can visit the Payroll section,31920000.0,16.0,8.0,9.0,1,1.2320328542094500,8,,,,,
Create New Script: Verify if HR can see the payroll period information of employees under the employment policy,9000000.0,15.0,9.0,9.0,1,1.2320328542094500,8,,,,,
Create New Script: Verify if filter functionality works,9720000.0,10.0,90.0,60.0,1,2.0150581793292300,8,,,,,
Create New Script: Verify if search functionality works,11775347.0,6.0,100.0,60.0,1,2.0150581793292300,8,,,,,
Desktop App: Time out button is disabled when user is in no task,10770856.0,10.0,8.0,8.0,1,4.413415468856950,13,,,,,
Milestone-Goal: 2 progress bar display on the same page,300000.0,4.0,100.0,100.0,1,2.108145106091720,45,,,,,
Operations - Cards: Cannot add subtask,6960000.0,10.0,10.0,10.0,1,2.2286105407255300,45,,,,,
Leave Requests: Listing on Mobile,1803988315.0,21.0,10.0,10.0,1,1.8453114305270400,17,,,,,
Milestone-Feature: Adding a question with white spaces as the title is still accepted,8220000.0,4.0,5.0,5.0,1,1.5003422313483900,55,,,,,
Personal Boards - Specify the name of the form in the feed alert,5340000.0,12.0,80.0,80.0,1,2.2806297056810400,45,,,,,
Milestones - Feature Milestone: Fewer Members are Fetched from Team Card when Filtering Assignee(s),9102728.0,8.0,100.0,100.0,1,2.2806297056810400,46,,,,,
Boards - Cards: Infinite skeleton loading on screenshots,11280000.0,6.0,9.0,9.0,1,2.2642026009582500,45,,,,,
Boards - Cards: Activity log will redirect to 404 page,8482670.0,4.0,5.0,5.0,1,1.5003422313483900,55,,,,,
Organization - HR Permissions: Update the modal design for selecting HR admin,5633145.0,6.0,80.0,80.0,1,1.1827515400410700,49,,,,,
Department/Teams - Incident Reports : Two empty state messages upon searching for a non existing employee,4831473.0,5.0,8.0,8.0,1,1.9219712525667400,49,,,,,
Department/Team - Employees : No empty state message upon searching for non-existing employee,1498000.0,4.0,80.0,90.0,1,1.9164955509924700,49,,,,,
HR Portal - Payrolls : Buttons under the Actions column are not well contained,3120000.0,4.0,9.0,9.0,1,1.9219712525667400,49,,,,,
Landing Page: Splash screen icon is small,21141721.0,16.0,8.0,9.0,1,2.841889117043120,17,,,,,
Create New Script: Verify that the Applicant can Cancel a Job Application,4761277.0,9.0,95.0,100.0,1,1.998631074606430,8,,,,,
Boards - HQZen Site : Breadcrumbs Improvements,6029000.0,16.0,80.0,80.0,1,1.9164955509924700,49,,,,,
Boards - Feature Milestones : No display of edit subtask option,2455462.0,5.0,9.0,9.0,1,1.9219712525667400,49,,,,,
HQZen - Employment > Timelog > Allowance Requests: API Creation for List of Allowance Requests in Sidebar,8372918.0,4.0,5.0,5.0,1,2.2477754962354600,35,,,,,
HQZen - Employment > Timelog > Allowance Requests: Integration for List of Allowance Requests in Sidebar,13646000.0,4.0,5.0,5.0,1,2.2477754962354600,35,,,,,
HQZen - Employment > Timelog > Allowance Requests: API Creation for Details of Filed Allowance Request,20855000.0,18.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Recruitment - Send Job Offer: Updating the design for selecting a template,5400000.0,3.0,90.0,100.0,1,1.1827515400410700,49,,,,,
Forms - Archived: Change icon of confirmation modal,2280000.0,2.0,100.0,100.0,1,2.2477754962354600,49,,,,,
Boards - New Board: Change the icon of the delete custom column button,2206000.0,2.0,100.0,100.0,1,1.1827515400410700,49,,,,,
Updated Operations Card Design,17520000.0,16.0,90.0,100.0,1,2.2477754962354600,49,,,,,
Updated Scalema Card Design,342441828.0,4.0,5.0,5.0,1,2.8993839835729000,49,,,,,
Desktop App: Modal for not allowed to time in still display even if the desktop configuration is enabled,3779000.0,7.0,6.0,6.0,1,2.113620807665980,13,,,,,
Desktop App: Task for Re-open milestone did not automatically reflect on the tracker,2981000.0,4.0,5.0,5.0,1,1.730321697467490,13,,,,,
Platform Settings: Adding a Confirmation Prompt,4009000.0,12.0,9.0,10.0,1,1.2813141683778200,35,,,,,
Platform Settings: Add a success alert message when adding a member to the template,8599320.0,5.0,8.0,8.0,1,3.3401779603011600,35,,,,,
Jobs Board: Internal Job Posting is visible,4877000.0,6.0,8.0,8.0,1,2.2477754962354600,35,,,,,
Platform Settings: Users can disable both configurations,6533592.0,5.0,8.0,8.0,1,3.3401779603011600,35,,,,,
Platform Settings: Whitelist IP addresses are deleted when toggling off,13920000.0,16.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Account Information: Save button is displayed before the phone number,997000.0,3.0,10.0,10.0,1,3.3401779603011600,35,,,,,
Administration - Departments: Confirmation Question on the confirmation modal is not well contained.,11581910.0,8.0,9.0,9.0,1,1.7467488021902800,35,,,,,
Component Optimization: BoardCard,17103000.0,4.0,5.0,5.0,1,2.2642026009582500,45,,,,,
Milestones - Create Goal Milestones: Increase spacing between elements of the custom form modal,1740000.0,3.0,9.0,9.0,1,1.9219712525667400,49,,,,,
Administration - Workforce: Contain the search field well in its container,4226000.0,3.0,100.0,100.0,1,1.9219712525667400,49,,,,,
Component Optimization: CardCreateModal,17681000.0,4.0,5.0,5.0,1,1.5003422313483900,40,,,,,
MIlestones - Goal Milestones: Reduce the space above the modal title,3230513.0,2.0,9.0,9.0,1,1.9219712525667400,49,,,,,
Boards - Card - Edit Tag: Remove unnecessary space and scroll bar should not exceed the search bar,3600000.0,3.0,90.0,90.0,1,5.429158110882960,49,,,,,
Milestones - Create Goal Milestone: Change the icon for deleting a criteria,1465000.0,1.0,10.0,10.0,1,1.9219712525667400,49,,,,,
Get Started - Individual: Adjust spacing values to avoid focus state of input fields to be clipped.,2400000.0,2.0,80.0,80.0,1,1.1827515400410700,49,,,,,
Boards - Card : Adjust the length of the line below the title input,3380000.0,3.0,80.0,80.0,1,2.2477754962354600,49,,,,,
Reports - Tasks Summary: Increase the width of the department and team dropdown,3922000.0,3.0,100.0,100.0,1,2.2477754962354600,49,,,,,
[Milestone Scheduled Tasks]: FE - Display Scheduled Task Detail Popup,12360000.0,4.0,5.0,5.0,1,2.236824093086930,55,,,,,
Administration Feature Showcase Modal,7464389.0,12.0,100.0,100.0,1,1.9219712525667400,49,,,,,
[Milestone Scheduled Tasks]: BE - Update Scheduled Task on Milestones Calendar View,25080000.0,4.0,5.0,5.0,1,2.2286105407255300,55,,,,,
Scalema Feature Showcase Modal,10177000.0,12.0,100.0,100.0,1,1.9219712525667400,49,,,,,
Overviews Feature Showcase Modal,5640000.0,12.0,80.0,80.0,1,2.2477754962354600,49,,,,,
[Milestone Scheduled Tasks]: FE - Update Scheduled Task on Milestones Calendar View,4444477017.503,4.0,5.0,5.0,1,1.2320328542094500,55,,,,,
Refactor: Style Variables,4085682.0,12.0,100.0,100.0,1,5.429158110882960,49,,,,,
HQZen - Employment > Timelog > Allowance Requests: API Creation for Comment Panel,5901000.0,12.0,8.0,8.0,1,2.2477754962354600,35,,,,,
Create New Script: Platform Settings Page Base Fixtures,6398215.0,15.0,95.0,100.0,1,1.998631074606430,8,,,,,
Rewrite README,7513000.0,12.0,90.0,90.0,1,5.429158110882960,49,,,,,
Timelog: The tasks are not visible after filing a timelog issue,27136149.0,7.0,10.0,10.0,1,3.780971937029430,17,,,,,
|Desktop || Add date_created and due_date for card|,4221415.0,4.0,9.0,9.0,1,0.9911019849418210,13,,,,,
Epic Board/Milestones Optimizations Bugfixing,11646208.0,4.0,5.0,5.0,1,4.355920602327170,45,,,,,
Reports - Task Summary: Remove the scrollable property,6540000.0,5.0,80.0,80.0,1,2.2477754962354600,49,,,,,
Desktop App-Assigned Task: Scroll bar is shown when the data is empty,3717000.0,4.0,9.0,9.0,1,0.9911019849418210,13,,,,,
Create New Script: Platform Settings Page - Configuration: Verify that the user can copy an existing platform settings template and modify some of the configurations,7299000.0,8.0,100.0,80.0,1,1.2813141683778200,8,,,,,
Desktop App: Points did not reflect on the tracker after moving the card in the done column,5157000.0,12.0,8.0,8.0,1,1.78507871321013,13,,,,,
Desktop App: Adding a subtask on the card under the milestone did not reflect on the tracker,4980000.0,12.0,8.0,8.0,1,1.78507871321013,19,,,,,
Desktop App-Scheduled Task: Wrong empty state display upon searching for a scheduled task that does not exist,3827000.0,4.0,5.0,5.0,1,2.2669404517453800,13,,,,,
Desktop App-Scheduled Task: long text title did not automatically wrap the text,8760000.0,4.0,7.0,5.0,1,2.113620807665980,19,,,,,
HQZen - Employment > Timelog > Allowance Requests: Integration for Details of Filed Allowance Request,79767546.0,24.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Your Tasks: Inconsistent behaviors in pinning tasks,1824224957.3470000,16.0,9.0,8.0,1,1.8453114305270400,17,,,,,
Cards - Manage Assignees: Save button is still disabled after selecting,19706715.0,8.0,100.0,100.0,1,1.5003422313483900,55,,,,,
Tags: Pagination not contained well on last page,1920000.0,8.0,100.0,100.0,1,2.108145106091720,45,,,,,
Cards: Author of the card is overwrite by the editor of the card,9437000.0,24.0,8.0,10.0,1,1.2785763175906900,27,,,,,
Command boards enhancements: UI enhancement after creating/updating form setup,5683350.0,7.0,10.0,10.0,1,1.5003422313483900,55,,,,,
Your Tasks: The task title overlaps the pin icon,86074859.0,16.0,10.0,10.0,1,1.8453114305270400,17,,,,,
Create New Script: Platform Settings Page - Configuration: Verify that the user can add & remove members to the platform settings template,6272755.616,10.0,90.0,90.0,1,2.631074606433950,8,,,,,
Administration - Workforce: Workforce executive is completely removed only after reload,8404052.583,8.0,10.0,10.0,1,2.113620807665980,35,,,,,
Workforce dropdown : Changes in workforce name reflect after page reload,21425320.0,14.0,10.0,10.0,1,1.7467488021902800,35,,,,,
Organization-Executives: Cancel button on the invite executive modal not working,2520000.0,4.0,5.0,5.0,1,1.998631074606430,35,,,,,
Administration-Workforce: Cancel button on the invite executive modal not working,1266000.0,4.0,10.0,10.0,1,2.113620807665980,35,,,,,
Administration-Templates : Filter will only fetch data on the current page.,12422000.0,8.0,100.0,100.0,1,2.2477754962354600,35,,,,,
HQZen - Employment > Timelog > Allowance Requests: Integration for Comment Panel,6101869.0,16.0,7.0,7.0,1,2.2477754962354600,35,,,,,
Overview : Query Solutions tab displays 0 instead of actual total number,11880000.0,9.0,10.0,10.0,1,3.3401779603011600,35,,,,,
Organization - Employment Policies: Custom Holiday leads to infinite loading when creating an Employment Policy,5700000.0,8.0,10.0,10.0,1,2.113620807665980,35,,,,,
Administration-Templates: The pagination is displayed even though there is only one data.,9180000.0,4.0,10.0,10.0,1,2.113620807665980,35,,,,,
Administration - Workforce: Missing input tags for upload buttons,10922714.0,5.0,10.0,10.0,1,2.113620807665980,35,,,,,
Administration-Workforce: Fixed placement and Modify the highest point of the scroll bar,3396000.0,5.0,10.0,10.0,1,2.113620807665980,35,,,,,
Organization - Employment Policies : Fix the Amend and Delete buttons,7368274.0,8.0,9.0,9.0,1,1.7467488021902800,35,,,,,
Create New Script: Platform Settings Page - Configuration: Verify that the user can create & update a platform settings template that has allowed/restricted apps,11107082.0,14.0,100.0,100.0,1,1.998631074606430,8,,,,,
Organization - HR Permissions: Selected HR is not marked check in Select HR Admin modal,13860000.0,10.0,10.0,10.0,1,1.7467488021902800,35,,,,,
Organization - Employment Policies: Placeholder text indicate select employees for HR Admins,6128000.0,8.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Landing Page: A horizontal scroll bar doesn't exist even if the page is zoomed in.,3500738.0,12.0,100.0,100.0,1,1.864476386036960,39,,,,,
Departments: Confirmation for transfer of manager persists on non-managerial employees,15834994.0,16.0,10.0,10.0,1,2.113620807665980,35,,,,,
Organization-Employment Policies: 1-3 characters input on the search bar goes infinite loading,6314879.0,6.0,10.0,10.0,1,1.7467488021902800,35,,,,,
Schedule Templates : Deleted schedule still exits in the list,7855012.0,5.0,8.0,8.0,1,3.3401779603011600,35,,,,,
Departments : Empty state message displayed on removing a department on the last page,10955083.0,8.0,8.0,8.0,1,3.3401779603011600,35,,,,,
Administration-Workforce: Invite Executive button is not working,11880000.0,12.0,10.0,10.0,1,1.7467488021902800,35,,,,,
Organization - Executives : Add a success modal upon revoking Access of an Executive,4632695.0,4.0,10.0,10.0,1,2.113620807665980,35,,,,,
Create New Script: Platform Settings Page - Configuration: Verify that the user can delete a platform settings template,3225708.611,8.0,100.0,100.0,1,1.998631074606430,8,,,,,
Create New Script: Platform Settings Page - General: Verify that the user can search for a platform settings template,3422034.0,8.0,100.0,100.0,1,1.998631074606430,8,,,,,
Organization - Employment Policies - Modify the modal for selecting an HR admin,5760000.0,8.0,80.0,80.0,1,2.2477754962354600,49,,,,,
Recruitment: Change the filter icon,3217398.0,2.0,9.0,9.0,1,1.9219712525667400,49,,,,,
Profile: Cannot scroll up the page,17439000.0,8.0,9.0,9.0,1,2.841889117043120,17,,,,,
Documents: Cannot view the attachment added.,4500000.0,16.0,10.0,10.0,1,1.8453114305270400,17,,,,,
Your Tasks: Inconsistencies on the Clear Filter button.,4320000.0,6.0,8.0,10.0,1,3.8193018480492800,17,,,,,
Your Tasks: Refreshing the page will display overview content.,14520000.0,16.0,10.0,10.0,1,1.8453114305270400,17,,,,,
Create New Script: Scalema starting fixtures,5580000.0,8.0,100.0,100.0,1,2.0150581793292300,8,,,,,
Profile Page: User Profile,103677777.0,16.0,100.0,100.0,1,5.429158110882960,49,,,,,
Profile Page: Job Preferences,518527262.0,14.0,100.0,100.0,1,5.429158110882960,49,,,,,
Profile Page: Work Experience,7980000.0,12.0,100.0,100.0,1,5.429158110882960,49,,,,,
Profile Page: Educational Background,99537777.0,14.0,100.0,100.0,1,5.429158110882960,49,,,,,
Scheduled Tasks: The task is already marked as done even before starting.,3531000.0,4.0,5.0,5.0,1,1.4401095140314900,17,,,,,
Your Tasks: Missing text cursor and overlapping text when a user attempts to comment on a task.,2880000.0,10.0,9.0,9.0,1,3.800136892539360,17,,,,,
Timelog: Incorrect spelling of Filing is seen on the Issue tab,3447000.0,2.0,10.0,8.0,1,3.780971937029430,17,,,,,
Boards: Change the placeholder in searching for board members,2686518.0,4.0,5.0,5.0,1,1.4428473648186200,49,,,,,
HQZen - Employment > Timelog > Allowance Requests: Integration for Editing of Filed Allowance Request,21840000.0,30.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Platform Settings: Disable Employee with applied template on the People Picker,14938903.0,14.0,8.0,8.0,1,3.3401779603011600,39,,,,,
Create New Workforce: No empty state display when searching executive and employee that is not on the list,4221831.0,4.0,10.0,10.0,1,2.113620807665980,35,,,,,
Administration: Edit Schedule Templates changes do not apply,12581135.0,8.0,8.0,8.0,1,3.3401779603011600,39,,,,,
Organization-Organization HR Admins: Incorrect Empty State Displayed when Searching for an Employee,2042576.0,2.0,10.0,10.0,1,2.113620807665980,35,,,,,
Organization-Employment policies: Incorrect Empty State Displayed when Searching for a Non-Existent Employees and HR Admin,2488000.0,4.0,5.0,5.0,1,1.998631074606430,35,,,,,
Forms: Form Details - Long form title is not truncated,2559000.0,10.0,10.0,10.0,1,1.7467488021902800,35,,,,,
Administration - Schedule Template: Newly Created Schedule Template does not reflect after creation.,22911000.0,24.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Fix Failing Script: test_anonymous_response,3120000.0,8.0,95.0,95.0,1,1.998631074606430,8,,,,,
Jobs Board - Open Jobs : Rephrase the misguiding text that appears when a user searches for a location,2340000.0,4.0,80.0,80.0,1,1.1827515400410700,49,,,,,
Employment: The Location field should be changed to a Country dropdown,23795098.0,16.0,10.0,10.0,1,1.8453114305270400,15,,,,,
Settings: No text cursor is visible upon inputting the password on the Account Information page.,1049000.0,4.0,5.0,5.0,1,1.4401095140314900,17,,,,,
Milestones: There is no text cursor visible when adding Criteria in creating a Goal Milestone.,548639.0,4.0,5.0,5.0,1,1.4401095140314900,17,,,,,
Timelog: Filing of Overtime Request displays incorrect page header.,4385000.0,4.0,8.0,8.0,1,3.8193018480492800,17,,,,,
Feature Milestone: Inconsistent size of font headers.,10425875.815,5.0,10.0,10.0,1,3.780971937029430,17,,,,,
Scheduled Task: Card information icon overlaps on the margin,2520000.0,10.0,9.0,9.0,1,3.800136892539360,17,,,,,
Employment: No text cursor is visible in some areas on the Contracts page,2486200.0,4.0,10.0,10.0,1,3.800136892539360,17,,,,,
Job Offers: The space between tab headers is not equal.,1087000.0,4.0,5.0,5.0,1,1.4401095140314900,17,,,,,
Personal Board: No text cursor is visible upon adding a Sub-task and its corresponding point/s in creating a Task.,7983153.0,5.0,10.0,10.0,1,3.780971937029430,17,,,,,
Milestones: Inconsistencies observed when creating a Goal Milestone,21480000.0,16.0,10.0,10.0,1,1.8453114305270400,17,,,,,
Scheduled Tasks: No empty view is displayed after searching for a non-existent task.,9442196.0,7.0,10.0,10.0,1,3.780971937029430,17,,,,,
Organization - New Employment Policy - Select Templates Modal: Update the modal design,5940000.0,12.0,80.0,80.0,1,2.2477754962354600,49,,,,,
Organization - New Employment Policy - Select Templates Modal: Change the font weight to regular,2417000.0,2.0,90.0,100.0,1,1.1827515400410700,49,,,,,
Boards: Disable the add member button on a card in the done column,2100000.0,4.0,5.0,5.0,1,1.73305954825462,49,,,,,
Site Responsiveness - Personal Board,1200000.0,6.0,80.0,80.0,1,2.91854893908282,49,,,,,
Site Responsiveness - Milestones,13440000.0,8.0,80.0,80.0,1,2.2477754962354600,49,,,,,
Site Responsiveness - Forms,8317000.0,15.0,8.0,8.0,1,1.9219712525667400,49,,,,,
Forms - Create form: Create form button loads infinitely upon submitting inputs,2663000.0,4.0,5.0,5.0,1,4.413415468856950,35,,,,,
Reports: The export button is disabled.,6123000.0,16.0,100.0,100.0,1,2.2477754962354600,35,,,,,
Schedule Task: The card information icon overlaps on the screen under the calendar view,8012926.0,8.0,7.0,9.0,1,2.841889117043120,17,,,,,
Tags: Deleted tag still appears on card/s using it,4263932.0,6.0,80.0,80.0,1,2.236824093086930,45,,,,,
Milestone-Feature: Unable to edit a milestone by adding a lead,9883000.0,10.0,10.0,10.0,1,1.864476386036960,45,,,,,
Email Template: Incident Report Updated,2294000.0,8.0,100.0,100.0,1,1.1827515400410700,49,,,,,
Milestones-Edit Milestone: Adding a Confirmation Prompt,7500000.0,9.0,100.0,100.0,1,1.5003422313483900,45,,,,,
Board: Add a confirmation modal when archiving a card,10260000.0,16.0,10.0,10.0,1,2.2286105407255300,55,,,,,
Filter cards: Dropdown scroll bars are not draggable,1709000.0,8.0,100.0,100.0,1,2.108145106091720,55,,,,,
